id,score
30513235,0.9447461
22229922,0.9479161
4802488,0.9574671
34330160,0.9456209
37251900,0.96090716
35918669,0.9634626
10426,0.95431197
33231736,0.9596076
32767283,0.9480825
25221359,0.93992394
18419770,0.96170866
36230857,0.9524663
22599433,0.9414878
4497158,0.9395857
22216188,0.9654994
11489369,0.9507209
9483055,0.9981368
38032731,0.9768802
10100033,0.96464145
30808797,0.96573836
16125405,0.96069026
10216628,0.9505287
10593387,0.96246237
2039681,0.9554178
36558338,0.9761322
16949788,0.93937486
11344361,0.97911996
22348986,0.96129745
36895655,0.9531062
8294406,0.9669498
29100122,0.94749784
15881781,0.98123103
20537934,0.9726466
31241925,0.95785224
7300373,0.94072455
23484940,0.94171387
7693371,0.94669646
20315131,0.94410115
24261612,0.94772947
18689471,0.954369
1513425,0.98060477
15885611,0.95293015
15926791,0.9789701
3494591,0.95345354
14303240,0.98354477
6100575,0.93932545
7801191,0.9557677
3262530,0.96304417
8253056,0.9516521
30564320,0.9410663
27952832,0.94008654
9268603,0.95503867
248552,0.9701475
8289295,0.9411304
10687505,0.9424658
36585343,0.9411391
5884661,0.9491105
12596851,0.93755025
942217,0.94870335
10937372,0.9485755
4186004,0.937851
2795304,0.9484455
16258876,0.9474367
16918957,0.9507646
11715979,0.94384843
17995033,0.95840293
27185241,0.95333356
20149380,0.96169204
31495507,0.97632104
15163114,0.96796906
19511546,0.94359154
25232055,0.9507208
21652749,0.952329
18962634,0.973808
32063594,0.9443871
37333909,0.9689397
21204887,0.9543899
9827614,0.96008956
34134088,0.9398666
33605307,0.94460577
5674223,0.94504243
25833203,0.97178113
25064998,0.94428015
8953912,0.9713821
72711,0.95122546
16642758,0.95894206
1364749,0.9484344
17989085,0.95402515
4212248,0.94782037
21511863,0.9438402
19842237,0.9611186
25519546,0.9581885
35783679,0.9387511
31964684,0.9409709
31088565,0.9477443
25331476,0.9552602
2923253,0.97890306
2909404,0.9831041
137162,0.95927477
16198272,0.9510604
17934658,0.9756985
25926632,0.9479972
5590766,0.9418037
170388,0.97184926
10255665,0.941263
17486652,0.95933837
22273718,0.9836458
2761356,0.95622844
12923000,0.961671
17124399,0.9473938
23876987,0.9854853
8356510,0.9537487
13145229,0.93844825
6748743,0.9456147
38851145,0.96803004
6909823,0.9460182
5260756,0.99025625
6353415,0.94235677
4966262,0.9587495
27396579,0.98527867
32405390,0.9492647
38973061,0.95058584
15628624,0.94368804
36665760,0.96643573
9375380,0.9417939
29533858,0.9428867
16947060,0.9392919
30001653,0.9474092
28294040,0.996894
18372428,0.9705937
446247,0.99512327
37477137,0.9431478
24289768,0.94147056
36252989,0.95846295
10668042,0.9931676
22874743,0.98369133
21769693,0.9617894
16015027,0.9386134
17363515,0.952816
1636128,0.9428739
24628664,0.95591754
17178903,0.9670127
32221244,0.9440816
33982880,0.96026105
33102322,0.9436822
24978562,0.94525594
16811541,0.9517397
32626598,0.97053105
10089817,0.9810383
35127241,0.9506403
3359108,0.9943773
4800902,0.9655016
3649607,0.94567424
2294764,0.9553086
18806613,0.97278017
36871919,0.95980394
36198306,0.9612016
6425843,0.94784665
31402297,0.99195
11448795,0.9469297
18498777,0.94563353
27537013,0.9771968
37702752,0.9978021
20847321,0.9493852
20574222,0.9608156
13191589,0.9498359
6483175,0.94909334
27740555,0.9843151
3970696,0.94180864
17761572,0.9376193
5949369,0.9833661
37954426,0.9561256
5853989,0.99984026
8941684,0.9760694
4733992,0.9942077
151786,0.94023687
12804236,0.95609665
24064079,0.93895894
31973246,0.9503849
25787045,0.95211166
3038569,0.9779915
24118802,0.9509413
1482236,0.9571723
2319320,0.9640019
18689159,0.9454956
19879436,0.95472556
26737645,0.9756929
26747272,0.9656678
36309844,0.94969815
2247518,0.9530052
903452,0.94127446
5880473,0.9547799
24366532,0.9579475
2582701,0.97300047
29026599,0.9698466
3779029,0.9450871
10233950,0.9452715
25226851,0.9575608
33039105,0.9570493
26791058,0.9397186
34227243,0.9440085
35085977,0.9713913
22577957,0.9401323
15730675,0.96665156
15477517,0.9475542
28643002,0.94058275
19598699,0.9500977
29148656,0.9417528
26823376,0.9590052
21329108,0.95053005
15731242,0.95118845
7204838,0.9411969
14869309,0.9391795
39276142,0.9495916
35034172,0.9804276
35421348,0.9467921
21836048,0.94358563
23868092,0.94109774
38247524,0.93755
16580950,0.9477346
36392605,0.9383053
14971962,0.96024793
5777630,0.9554873
12894503,0.95771766
14707670,0.95464665
1428237,0.96894526
12356075,0.9478473
16103407,0.9675246
10859804,0.9591484
17705149,0.9506859
19575931,0.94751763
8532980,0.99400294
33313735,0.94759715
630683,0.9582775
39021267,0.94865066
5200595,0.94890785
35903902,0.95523703
12412716,0.94888896
34722953,0.98019415
9849738,0.96999496
15845289,0.96044856
23482598,0.9557451
35068375,0.95664895
27823498,0.99063873
32670834,0.94264364
13197094,0.9688106
2228740,0.9381055
3256989,0.9495378
35268732,0.9548408
13048403,0.96735275
37871782,0.9582099
1787762,0.9388743
17732681,0.98258626
27178723,0.98235965
6519695,0.94728374
29002444,0.9493349
12867580,0.96067727
976985,0.9426027
1270513,0.955817
24529004,0.94136775
3324698,0.950432
32791793,0.9658706
9707542,0.95609534
23452436,0.99089396
19901657,0.9425172
23927626,0.9405464
27579874,0.95702344
1479131,0.9410753
32346198,0.93814266
21971365,0.95768094
3077239,0.97048765
11571770,0.9566923
30033477,0.9429326
23399378,0.94036454
23206072,0.9489547
11996783,0.93785644
23435665,0.94772804
13956342,0.9943768
8389648,0.9535917
10625211,0.93796253
2749255,0.94552016
33873743,0.9378604
6300609,0.94165367
25115831,0.9526221
20651790,0.9382388
29289338,0.94561595
6127860,0.95435125
11238956,0.94272417
1276186,0.9530268
